leg.number,lat.start,lon.start,lat.end,lon.end,leg.length
1,28.51223333,128.9877833,28.36658333,128.85645,20.64169151
2,28.36658333,128.85645,28.21591667,128.725,21.0969426
3,27.77583333,128.3279833,27.63133333,128.1982,20.50024101
4,27.63133333,128.1982,27.4998,128.0637333,19.71749398
5,27.4998,128.0637333,27.36731667,127.94605,18.73240933
6,24.9498,127.4322,24.77688333,127.4632167,19.40892158
7,24.77688333,127.4632167,24.59905,127.4945667,19.95216329
8,24.07223333,127.6615,23.90878333,127.7376,19.69012556
9,23.90878333,127.7376,23.7521,127.81855,19.21377556
10,23.7521,127.81855,23.59316667,127.8965,19.31505904
11,21.87906667,128.7125833,21.73195,128.7869,18.01144494
12,21.73195,128.7869,21.58418333,128.8636167,18.1867203
13,21.27375,129.00985,21.12641667,129.0734833,17.59994537
14,21.12641667,129.0734833,20.9752,129.1405333,18.13481542
15,20.9752,129.1405333,20.81695,129.2126667,19.06044556
16,19.34156667,129.9067167,19.19795,129.9714,17.29077812
17,19.19795,129.9714,19.04845,130.0440333,18.22800373
18,18.75598333,130.1777,18.61286667,130.24145,17.20966892
19,18.61286667,130.24145,18.4656,130.3065,17.6881991
20,18.4656,130.3065,18.32213333,130.3765833,17.52151148
21,16.54935,131.1995333,16.40148333,131.27525,18.25178589
22,16.09356667,131.4132167,15.9441,131.4786167,17.95987068
23,15.9441,131.4786167,15.79741667,131.5383,17.44492835
24,15.79741667,131.5383,15.65585,131.5985167,16.94259342
25,15.13725,131.8992,14.99285,131.9537833,17.0214683
26,14.99285,131.9537833,14.84531667,132.0116667,17.47185619
27,14.54956667,132.1146,14.40336667,132.1794667,17.62300488
28,14.40336667,132.1794667,14.2573,132.2438833,17.59185749
29,14.2573,132.2438833,14.10961667,132.3068333,17.69650263
30,13.51021667,132.58535,13.3547,132.6585333,18.94303255
31,13.3547,132.6585333,13.1964,132.7293167,19.11925207
32,12.8689,132.8770167,12.71498333,132.9468167,18.637943
33,12.71498333,132.9468167,12.55838333,133.0102667,18.64528169
34,12.55838333,133.0102667,12.40143333,133.0768833,18.81242511
35,11.9309,133.2531667,11.7876,133.3343833,18.15477992
36,11.7876,133.3343833,11.64195,133.41005,18.10066948
